"company_name","company_industry","company_location","company_description","linkedin_followers","linkedin_company_url","linkedin_search_term","linkedin_search_params"
"EDM - Software Solutions","IT Services and IT Consulting","Beirut","With over 35 years of experience, EDM has become a leading provider of software and IT solutions in Lebanon, extending its reach across Saudi Arabia, Qatar, and the MENA region. Backed by a team of 200+ skilled professionals, EDM is dedicated to delivering high-quality solutions that streamline business processes and drive growth. Throughout the years, EDM has completed thousands of projects, solidifying its position as a trusted partner for businesses looking to embrace new technologies and embark on their digital transformation journey. Our Key Software Solutions Include: ERP Solutions: Comprehensive modules for Accounting, HR, Inventory, CRM, POS, and more. Payroll & School Systems: Tailored solutions to streamline HR and educational processes. POS Systems: Efficient solutions for retail businesses of all sizes. E-commerce Solutions: Building online platforms to expand your market reach. Mobile Sales Automation: Optimize field sales with our custom mobile applications. Field Medical Representative Management: Empower your field medical teams with tailored tools. Warehouse Management Solutions: Efficiently manage stock levels and optimize storage. Some of Our Software Partnerships: SAP Gold Partner Microsoft Gold Partner LS Retail Diamond Partner Odoo Partner Micro Focus Partner Insight Software (Business Intelligence) Why Choose EDM? With a fully integrated project management team, we ensure seamless implementation of your software solutions, tailored to your business needs. Ready to take the next step? Let’s discuss how we can transform your business together!",6000,"https://www.linkedin.com/company/engineering-design-&-manufacturing/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"ISD Software und Systeme GmbH","Software Development","Dortmund","The mission of the ISD Group is to support customers as a strong partner, to implement engineering processes in an optimal way and thus to make companies more successful. Since its foundation in 1977 ISD has developed into a safe and reliable partner in this field, founded in Germany and now operating worldwide. ISD focuses on the provision of industry-specific knowledge, numerous services such as training courses and the high-quality, self-developed software for engineers. The CAD and PDM solutions HiCAD and HELiOS offer the user efficient functions, field-tested automation tools and a unique flexibility. HiCAD is a state-of-the-art 2D/3D CAD system with specialised industry solutions for plant and product design, as well as for the entire construction industry, including façade construction. The PDM solution HELiOS facilitates the acquisition, administration and distribution of documents and information. The added value for customers is characterized by the fact that every engineering project is faster and easier to develop, produce, assemble and maintain. Imprint: https://www.isdgroup.com/en/legal-notes-and-disclaimer/",3000,"https://www.linkedin.com/company/isd-software-und-systeme-gmbh/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"URANIUM Software","IT Services and IT Consulting","Cairo, Maadi","URANIUM Software is a Professional and a specialized Information and Communication Technology Services Provider that was founded based on a true awareness of its mission. URANIUM Software sets an eye on its business objectives while the other eye is set on its customers’ business objectives, orchestrating both in real harmony and in a true sense of partnership that determines the type of relationships between URANIUM Software and its clients. URANIUM Software promises that it would go beyond the ordinary levels of services and beyond expectations in its pursue to serve its customers. We believe that our qualities should not only be technical, but as well none disputed commitment towards our customers and outstanding levels of service. We aim to introduce the vision of business driven IT solutions and service oriented architecture and the how-to utilize and enhance the IT services to serve our customers’ ultimate business vision and strategy.",6000,"https://www.linkedin.com/company/uraniumcorp/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"UTrust for software testing and quality assurance services","Information Technology & Services","Qurtubah, Riyadh","Since our inception in 2015, UTrust has been dedicated to delivering comprehensive outsourced software testing solutions. We've grown into a reliable partner for businesses worldwide, ensuring the quality and reliability of their software products. Our team of experienced testers combines cutting-edge methodologies with a deep understanding of industry best practices to provide exceptional testing services that meet the unique needs of each Vast Menu.",6000,"https://www.linkedin.com/company/utrustglob/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Berakhah Software Solutions","IT Services and IT Consulting","Al Rashidiya, Ajman","EXCELLENCE.INNOVATION.EXPERTISE. About Us Berakhah Software Solutions F.Z.E is a full service, independent Software, programming and design firm located in India and United Arab Emirates. BSS is all about excellence, passion and flexibility. For the last 17 years we have offered world class services in Software Solutions, Application Development, Website Services and Enterprise Solutions. We follow three main rules to get to our goals: do it on-time, do it within scope and offer the best service with lower cost than other development centers. At BSS, we live and breathe Technology every day. Our Values We are satisfied with what we do and proud to integrate an organization that respects values such as: Dedication and passion for excellence Integrity and Honesty Creativity and Innovation Collaboration and Respect Diversity Desire to share knowledge, achievements, and experiences Care about our colleagues and their quality of life Talent retention and continuous motivation Our Vision & Mission MISSION : Our mission combines work and talent. We seek to achieve extraordinary results by helping our clients make distinctive improvements. How do we do it? By leveraging best-of-breed technology and building a great company that is profitable and appeals to, helps develop and retains exceptional people. VISION : Our passion for what we do led us here. Our vision guides our business every day: to provide the world with the best IT and software services while taking care of our people and honoring our values.",5000,"https://www.linkedin.com/company/berakhah-software-solutions/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Comsys Software S.A.E.","Software Development","Cairo, Heliopolis - Cairo","Comsys is one of the leading Egyptian software companies established in 1984. Its main objective is providing the market with business integrated software to enhance the ability of organizations to generate ad-hoc reports on a timely, accurate and comprehensive basis, thus supporting managers in their decision making process. We believe that in today’s challenging business environment, firms must choose partners precisely, based on the value to be added to the relationship. Software is not a commodity, it is only as good as the company that stands behind it. Our Number-One-Priority at Comsys is customer satisfaction, So we are always keen to enable our customers to maximize the return on thier investments and to minimize the total cost of ownership. Thus, we believe that our success is the reasonable outcome from our customers'​ success. User Friendly, Scalability, Flexibility, Control and Manageability are the key elements to drive and monitor data flow through ours systems.",4000,"https://www.linkedin.com/company/comsys-software-s-a-e-/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"TheMarketConnect - Software Testing and Engineering","IT Services and IT Consulting","Ajman","With a rich history of successful projects, we have evolved into a seasoned and accomplished organization. Our team of professionals boasts years of experience in holistic project management, software development, quality assurance, and testing services. Collaborating with a diverse global client base, we have consistently excelled in delivering outstanding end-user experiences and world-class services. At TheMarketconnect , our legacy of innovation and unwavering commitment to excellence is the hallmark of our success.",4000,"https://www.linkedin.com/company/themarketconnectglobal/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Softbuilders Software Design LLC","Software Development","Dubai","At Softbuilders Software Design LLC, our mission is to provide our clients with exceptional software design and development services that exceed their expectations. We aim to build long-lasting partnerships by delivering high-quality, reliable, and scalable solutions that help businesses thrive in the digital landscape.",4000,"https://www.linkedin.com/company/softbuilders-software-design/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Lattice Software Solutions","Software Development","Dubai","Lattice Software Solutions is a Dubai-based software company specialising in facility and asset management technology for the GCC. Our Experience Founded in 1994, Lattice brings over 30 years of software experience, with the last 18 years focused on facilities management. Our solutions are developed, owned and supported entirely in-house. Our Platform Reflexion is our integrated CAFM, EAM and CMMS platform, providing property owners, developers and FM service providers with a single system to manage: Asset and location management Work orders and planned maintenance Contracts and SLA governance Field inspections and compliance Reflexion Audit extends the platform to field inspections and compliance checks, with offline capability for teams working in areas with unreliable connectivity. Built for Scale Reflexion currently manages: 450M+ sq. ft. | 10M+ work orders annually Our customers and users include organisations such as EMAAR, Louvre Abu Dhabi, Dubai Duty Free and Al Mouj Muscat, as well as leading FM operators including Emrill, Transguard and Al Shirawi FM. Connect With Us Interested in seeing Reflexion in action? 📅 Book a demo: https://calendly.com/latticegulf-sales/30min 🌐 Website: latticegulf.com ✉️ Email: info@latticegulf.com",3000,"https://www.linkedin.com/company/lattice-software-solutions/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Page by MRI Software","","","","","https://www.linkedin.com/company/mri-software-llc/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Kastech Software Solutions Group","IT Services and IT Consulting","Richmond, Texas","Kastech Software Solutions Group, incorporated in 2007 and headquartered in Richmond, Texas, is a leading global IT services and consulting company delivering technology-driven solutions to organizations across industries. With offices across North America, APAC, Latin America, the Middle East, and Australia, we help businesses transform their operations, improve efficiency, and drive innovation. Our core expertise includes: · Workday Implementation Support, Optimization, Advisory, and Managed Services · ERP Solutions: SAP, Salesforce, and ServiceNow · Ellucian Banner Consulting for Higher Education · Data Engineering, Business Intelligence, and Advanced Analytics · GIS and Urban Management Solutions · eSignature Solutions · MuleSoft Integration Services · IT Staffing Services Kastech has a strong partner network worldwide, helping us deliver reliable and cost-effective IT services including scalable and innovative technology solutions that drive business growth.",102000,"https://www.linkedin.com/company/kastech-software-solutions-group/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"RBM Software","IT Services and IT Consulting","San Francisco , California","RBM Software is a digital transformation company that helps enterprises modernize operations, reimagine customer experiences, and build technology foundations for long-term growth. We bring deep capability across AI, data, cloud, and product engineering to turn transformation vision into working, scalable systems. Since 2015, we have partnered with enterprises across retail and ecommerce, fintech, healthcare, edtech, and supply chain to tackle real operational complexity — legacy modernization, system integration, process automation, and building new digital capabilities from the ground up. We combine strategic thinking with engineering discipline and quality-first delivery, using reusable frameworks and automation so transformations hold up well beyond go-live. Our work is grounded in industry context, not just technical execution. We understand the business problems behind the technology decisions, which means we build systems that deliver measurable value today while supporting where you're headed next.",26000,"https://www.linkedin.com/company/rbmsoftware/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"MATRIXX Software","Telecommunications","Foster City, CA","MATRIXX Software delivers a dynamic billing, monetization and charging solution proven at scale. Global service providers like Telefónica, IoT providers like Tata Communications and network-as-a-service providers like DISH rely on MATRIXX to overcome the limitations of existing billing applications. MATRIXX provides a unified platform that transforms and simplifies billing operations across consumer, enterprise and wholesale businesses. With MATRIXX, operators can rapidly configure, deploy and monetize personalized offerings, enabling commercial innovation and real-time customer experiences that drive revenue and growth.",17000,"https://www.linkedin.com/company/matrixx-software-inc-/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"BMC Software","IT Services and IT Consulting","Houston, Texas","BMC empowers 86% of the Forbes Global 50 to accelerate business value faster than humanly possible. Our industry-leading portfolio unlocks human and machine potential to drive business growth, innovation, and sustainable success. BMC does this in a simple and optimized way by connecting people, systems, and data that power the world’s largest organizations so they can seize a competitive advantage.",344000,"https://www.linkedin.com/company/bmc-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Page by GEP Worldwide","","","","","https://www.linkedin.com/company/gep-worldwide/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"DANAOS Projects Software Solutions LLC","Software Development","Dubai, Business Bay","DANAOS Projects Software Solutions LLC is the developer and owner of ProjectVIEW ERP, a construction-specific, project-centric ERP system designed to solve one problem generic ERPs consistently fail at: real cost control in complex projects. ProjectVIEW ERP is purpose-built for contractors, EPC companies, shipyards, and project-driven manufacturers operating across infrastructure, energy, data centers, offshore, marine, mining, project-based manufacturing, and industrial construction. Unlike generic ERP platforms (SAP, Oracle, Infor, IFS, Sage, Dynamics) that are accounting-centric, ProjectVIEW ERP is built around the project itself, continuously benchmarking Cost and Time through the BoQ–WBS–Cost Code relationship. This enables real-time visibility into budget vs actuals, procurement-driven forecasting, earned value deviations, and corrective action — before overruns escalate. What defines ProjectVIEW ERP: Construction & project-centric ERP (not finance-first) Real-time cost control driven by BoQ, WBS, and procurement Native support for EPC, infrastructure, shipbuilding, and project-based manufacturing Integrated planning, procurement, subcontractors, site operations, and analytics Seamless integration with Primavera, BIM, and corporate ERPs (SAP / Oracle) DANAOS Projects operates internationally, with offices in Greece, Dubai, and the Philippines, serving enterprise-grade project organizations seeking control, predictability, and profitability across the full CAPEX → OPEX → asset lifecycle. ProjectVIEW ERP is not a generic ERP adapted for construction. It is a construction ERP engineered by construction professionals.",10000,"https://www.linkedin.com/company/danaos-projects/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"ITIDA-SECC Software Engineering Competence Center","Information Technology & Services","Cairo, Giza","We work with ICT Companies in improving the process and content of their product or service production, by providing services that enhance their technical competence and improve their internal capabilities. In June 2001, the Software Engineering Competence Center (SECC) was inaugurated as part of the efforts sponsored by the Ministry of Communications and Information Technology (MCIT) to support Information Technology Industry in Egypt. In year 2005, SECC became a part of the Information Technology Industry Development Agency (ITIDA). ITIDA is a governmental organization developing IT industry in Egypt. It is significantly financed by the private ICT sector with significant presence of private ICT business representatives on its Board of Directors. It is significantly financed by the private ICT sector with significant presence of private ICT business representatives on its Board of Directors.",25000,"https://www.linkedin.com/company/secc-eg/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Veeam Software","Software Development","Seattle, WA","Welcome to Veeam’s LinkedIn page. Follow us here for company news, product updates, events and more. With Veeam, the trusted data and safe AI company, your data is understood, secured, and resilient so you can unleash it to accelerate safe AI at scale. Headquartered in Seattle with offices in more than 30 countries, Veeam protects over 550,000 customers worldwide, including 82% of the Fortune 500. Accelerate Safe AI at Scale. Learn more at veeam.com or follow Veeam on X @veeam",476000,"https://www.linkedin.com/company/veeam-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"IT-Fusion Software House","Software Development","Cairo, Cairo","Over 12+ years of experience providing insurance software solutions, we delivered high-value innovative solutions by connecting the gap between insurance business know-how and Information technology to support wide, diversified, multicultural business environments in Egypt and Sudan. We understand that what matters most is to better understand our clients and how uniquely they each aspire to success. That is why our approach starts with people guided by CMMI-appraised processes.",10000,"https://www.linkedin.com/company/it-fusion-software-house/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"IBS Software","Software Development","Singapore","IBS Software is a leading travel technology company delivering AI-native travel intelligence that enables smarter, faster and more resilient decision-making, with built-in guardrails across aviation, cargo and logistics, and leisure and hospitality. It powers core capabilities for leading travel brands worldwide, spanning airline retailing, passenger services, loyalty, fleet, hub and crew operations, cargo management, and cloud-native platforms for hotels and cruise line operators, and operates from 16 offices globally.",225000,"https://www.linkedin.com/company/ibssoftware/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Instant Software Solutions","Software Development","Cairo, cairo","Instant Software Solution is a software company that relies primarily on innovative and modern solutions in the field of software and is a modern company that uses all tools, We keep things simple, putting you in control so you can make informed choices",71000,"https://www.linkedin.com/company/instantsoftwaresolution/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Nice Software Solutions Pvt. Ltd.","IT Services and IT Consulting","Nagpur, Maharashtra","Nice Software Solutions – An idea over a coffee transformed into a bold vision. In 2008, NSS began with a simple yet powerful vision: to help businesses unlock the true potential of their data. What started as a small team in Nagpur has grown into a global force, with offices in Pune and Dubai and a team of 350+ experts who live and breathe data, analytics, and AI. Over the years, we’ve had the privilege of partnering with 100+ clients across the globe, delivering 600+ projects that have transformed the way businesses operate. From healthcare to finance, retail to banking, we’ve helped organizations turn raw data into actionable insights, empowering them to make smarter decisions, optimize operations, and drive growth. Our journey has been fueled by a relentless commitment to innovation. We’ve embraced cutting-edge technologies like Power BI, Azure, Snowflake, Databricks, MicroStrategy, and the latest advancements in Generative AI to stay ahead of the curve. But what truly sets us apart is our people—a team of passionate professionals who are constantly learning, evolving, and pushing boundaries to deliver solutions that matter. Our Mission: To empower businesses with transformative data and AI solutions that unlock new opportunities and drive success. Our Vision: To be a global catalyst for innovation, shaping the future of business intelligence and Generative AI. At Nice Software Solutions, we believe that data is more than just numbers; it’s the foundation of progress. Whether it’s building predictive models, automating processes with AI-driven tools, or crafting end-to-end analytics solutions by engineering data in a scalable format, we’re here to help businesses navigate the complexities of the digital age with confidence.",100000,"https://www.linkedin.com/company/nice-software-solutions/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"FPT Software Career","IT Services and IT Consulting","Ha Noi","FPT Software Career is the official recruitment channel of FPT Software, dedicated to connecting talented professionals with impactful technology careers. FPT Software, a subsidiary of FPT Corporation, stands as a global technology leader - recognized as the Largest IT Services Company in Fortune 500 SEA. We harness the power of AI and emerging technologies to shape a happier future for people, drive success for enterprises, and foster prosperity for nations. For more information, please visit: https://fptsoftware.com/",101000,"https://www.linkedin.com/company/fptsoftwarecareer/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Global Software Solutions Group","IT Services and IT Consulting","Dubai Internet City, Dubai","Global Software Solutions Group Veracious product line is a series of robust banking platforms that provide core banking, payment systems, custom process automation, and document management solutions for banks and financial institutions in Middle East & Africa. This cutting-edge product line features the Veracious Payments Hub, Digital Banking and the DMS, all built on the Torus Lowcode development platform software. Global Software Solutions Group is a software solutions provider that aims to solve mission-critical problems that financial institutions face today. Our software solutions bring together our Low Code platform, the payments product line and customized service offerings to solve mission-critical statements in core banking, payments, process automation, and document management. The Payments Hub is GSS's flagship product.",92000,"https://www.linkedin.com/company/gssgroups/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Josh Software, Inc.","IT Services and IT Consulting","Pune,","Since 2007, Josh Software has been helping customers across the globe to build products and transform. We specialize in transforming the Fintech landscape with our tailor-made IT solutions. Our expertise in modernization, retail banking, digital transformation amongst others sets us apart, driving innovation and efficiency for our clients. While we excel in various industries, our primary focus is on Fintech, where we leverage our deep industry knowledge to deliver IT services that empower financial institutions to thrive in the digital era.",41000,"https://www.linkedin.com/company/josh-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Daily Software Jobs","IT Services and IT Consulting","Cairo","Collecting and posting opportunities relates to software development and testing.",43000,"https://www.linkedin.com/company/daily-software-jobs/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Web Development Club","Higher Education","Sharjah, Sharjah","A student-run organization dedicated to web development in the American University of Sharjah",64,"https://www.linkedin.com/company/web-development-club/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"Web Development Emilia Afet","Advertising Services","Al Barsha First, Dubai","• Creating graphic posts on social media • Creating advanced photomanipulations • Creating web banners • Creating advertising materials for printing (leaflets, rollups, posters, business card) • Logo design • Photo retouching • Web development",69,"https://www.linkedin.com/company/web-development-emilia-afet/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"Web DevelOpment Soluti0ns","Software Development","Luxor","Offers a variety of website design and development services",49,"https://www.linkedin.com/company/web-development-soluti0ns/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"SK Digital - Web Development & Digital Marketing Services","Information Technology & Services","Hor Al Anz, Dubai","SK Digital is a digital marketing agency that specializes in SEO, Web Development, content creation, SMM, Google Ads",2000,"https://www.linkedin.com/company/sk-digital-ae/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"web development uk","Entertainment Providers","United Arab Emirates","Dubai Travel and Toursim",105,"https://www.linkedin.com/company/web-development-uk/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"360 Core Inc. | Web Development Company","IT Services and IT Consulting","Surat, Gujarat","360 Core Inc. | Award-Winning Web Development Company We engineer high-performance websites and web applications that don't just look great — they deliver...",2000,"https://www.linkedin.com/company/360coreinc/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"Web Glaze Services","IT Services and IT Consulting","Delhi","Web Glaze Services is an IT based company and working in websites, digital marketing, print media and app services from last 11 years. Here you can get all of your IT requirements under one roof. We are team of IT professional working on web development and have more then 500 websites running live till now...",6000,"https://www.linkedin.com/company/webglaze/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"Web Camel","IT Services and IT Consulting","Lahore, Punjab","We are a Web Design and Social Media Marketing Agency and doing web design, web development, social media marketing. We specialized in UI/UX Design, Shopify, Wordpress and FB Marketing. Our Target audience is small businesses, medium businesses, startups",5000,"https://www.linkedin.com/company/web-camel/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"Web development Marketing services","IT Services and IT Consulting","dubai","Web development Marketing services",24,"https://www.linkedin.com/company/web-development-marketing-services/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"Eldeep Web Development","Software Development","Giza, Giza","A new foundation in Egypt, Established in 2019 We are here (our objective) to steer clients to the best and the easiest way for business development & how to market their products with the best way Eldeep specialized in web development , web applications and social media advertising...",352,"https://www.linkedin.com/company/eldeepwebdev/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"Web Masters Technologies","IT Services and IT Consulting","Dubai, Dubai","Web Masters LLC was founded in 1989 (formerly known as Computer Point). It is based in Dubai, UAE with operations/clients across the Middle East and Asia. We have about 60 dedicated techno commercial professionals, and an experience of about 500 man-years behind us. Web Masters LLC has outstanding competences...",5000,"https://www.linkedin.com/company/web-masters-technologies/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"The Web Digitizers","Advertising Services","Dubai ,","Web Development",2000,"https://www.linkedin.com/company/the-web-digitizers/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"Development Logix","IT Services and IT Consulting","Lahore, Punjab","Web Development",3000,"https://www.linkedin.com/company/develpmentlogix/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
"2CG – Web Development & Digital Marketing Agency (Dubai)","Advertising Services","Dubai, Dubai","In an effort to harness the power of the Web through Marketing, two dynamic girls came together to conceive 2CG. Led on by their sole passion for Marketing...",199,"https://www.linkedin.com/company/2cguae/","web development","[{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]},{""keywords"":""web development"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""104305776"",""100459316"",""106155005""],""companySize"":[""B"",""C""]}]"
